Proportion,Layers,Nodes,Activations,Returns,36_Returns,60_Returns,Deployed_Capital,36_Deployed,60_Deployed
0.5875,8,"[57, 22, 42, 29, 62, 63, 31, 38]","['tanh', 'softmax', 'softmax', 'tanh', 'relu', 'tanh', 'tanh', 'softmax']",,,,0.0,0.0,0.0
0.75,8,"[46, 42, 61, 50, 37, 21, 40, 42]","['tanh', 'relu', 'softmax', 'tanh', 'tanh', 'relu', 'relu', 'tanh']",,,,0.0,0.0,0.0
0.9125,8,"[28, 55, 29, 48, 17, 32, 59, 16]","['tanh', 'tanh', 'tanh', 'softmax', 'relu', 'tanh', 'relu', 'softmax']",,,,0.0,0.0,0.0
1.0750000000000002,8,"[42, 19, 17, 22, 55, 20, 17, 38]","['relu', 'relu', 'tanh', 'tanh', 'softmax', 'tanh', 'relu', 'softmax']",3.5056,4.4865,1.6348,2271614600.0,1490225450.0,781389150.0
1.2375,8,"[41, 50, 59, 25, 63, 52, 20, 50]","['relu', 'relu', 'tanh', 'relu', 'relu', 'tanh', 'softmax', 'softmax']",3.4253,4.4655,1.4648,2273907700.0,1485674200.0,788233500.0
1.4000000000000001,8,"[21, 52, 56, 22, 51, 16, 57, 43]","['tanh', 'softmax', 'tanh', 'softmax', 'tanh', 'tanh', 'softmax', 'relu']",3.4743,4.5719,1.4005,2273226875.0,1486479050.0,786747825.0
1.5625000000000002,8,"[20, 33, 30, 44, 54, 35, 32, 57]","['relu', 'tanh', 'tanh', 'tanh', 'relu', 'tanh', 'relu', 'softmax']",3.5119,4.384,1.8388,2272400925.0,1493799225.0,778601700.0
1.725,8,"[59, 56, 28, 61, 25, 57, 43, 51]","['tanh', 'softmax', 'relu', 'relu', 'relu', 'softmax', 'tanh', 'softmax']",3.46,4.3537,1.773,2277918575.0,1489116550.0,788802025.0
1.8875000000000002,8,"[30, 33, 23, 54, 29, 38, 33, 29]","['softmax', 'softmax', 'softmax', 'relu', 'relu', 'tanh', 'tanh', 'relu']",3.4515,4.5037,1.4657,2267991425.0,1482487300.0,785504125.0
2.0500000000000003,8,"[23, 55, 52, 28, 56, 18, 41, 29]","['softmax', 'tanh', 'relu', 'softmax', 'softmax', 'softmax', 'relu', 'softmax']",3.3633,4.3513,1.4894,2271450200.0,1487289250.0,784160950.0
2.2125000000000004,8,"[60, 37, 42, 34, 53, 36, 39, 27]","['tanh', 'softmax', 'relu', 'relu', 'tanh', 'softmax', 'tanh', 'softmax']",3.4761,4.4854,1.5561,2276094725.0,1491916875.0,784177850.0
2.375,8,"[23, 25, 45, 23, 60, 55, 40, 36]","['relu', 'tanh', 'tanh', 'relu', 'tanh', 'relu', 'tanh', 'relu']",3.3991,4.3868,1.5122,2272806650.0,1491888075.0,780918575.0
